ROUND,AI RANK,STATE,INSTITUTE,COURSE,QUOTA,CATEGORY,FEE,STIPEND,BOND YRS,BEDS
3,31174,Odisha,"Ispat Gen Hospital, Rourkela",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 70,686",0,600
3,31181,Maharashtra,"Jupiter Lifeline Hosp, Pune",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 86,000",0,350
3,31182,Maharashtra,"Symbiosis Med Coll Women, Pune",GENERAL SURGERY,MNG,GEN,"₹ 23,31,010","₹ 60,000",1,-
3,31186,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",ANAESTHESIOLOGY,AIQ,SC,"₹ 2,50,000","₹ 1,15,506",2,470
3,31187,Madhya Pradesh,"Gandhi Med Coll, Bhopal",TBRD,AIQ,SC,"₹ 1,01,500","₹ 75,444",1,1135
3,31189,Tamil Nadu,"VHS and Med Centre, Chennai",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 52,451",0,525
3,31191,Tamil Nadu,"SRM Med Coll, Kancheepuram",PAEDIATRICS,MNG,GEN,"₹ 40,00,000","₹ 52,451",0,1590
3,31193,Pondicherry,"RG Govt Wom&Child,Pondicherry",DNBPAEDIATRICS,DNB Post MBBS,SC,"₹ 1,25,000","₹ 43,000",0,700
3,31194,Madhya Pradesh,"Bombay Hospital, Indore",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 75,444",0,350
3,31197,Tamil Nadu,"Kilpauk Med Coll, Chennai",GENERAL MEDICINE,AIQ,ST,"₹ 50,000","₹ 54,025",2,1700
3,31198,Uttar Pradesh,"YatharthWellSSHosp,Sec110,Noida",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 80,000",0,250
3,31201,Uttar Pradesh,"Divine Heart & MS Hosp, Lucknow",DNBCARDIOTHORACIC 6 YRS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 50,000",0,110
3,31205,West Bengal,"RG Kar Med Coll, Kolkata",ANAESTHESIOLOGY,AIQ,OBC,"₹ 12,000","₹ 61,634",3,1663
3,31207,Karnataka,"JSS Med Coll, Mysore",OBG,MNG,GEN,"₹ 34,00,000","₹ 45,000",0,2060
3,31211,Karnataka,"VIMS, Bellary",OPHTHALMOLOGY,AIQ,OBC,"₹ 1,23,400","₹ 56,250",1,1295
3,31214,Rajasthan,"SP Med Coll, Bikaner",GENERAL SURGERY,AIQ,SC,"₹ 14,093","₹ 87,216",2,1570
3,31217,Karnataka,"Apollo Hosp, Bannerghatta, BLR",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 56,250",0,350
3,31219,Maharashtra,"Seth GS, Mumbai",FORENSIC MEDICINE,AIQ,GEN,"₹ 1,57,100","₹ 93,559",1,2250
3,31223,Tamil Nadu,"Ganga Med Centre, Coimbatore",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 50,000",0,500
3,31224,Karnataka,"Kasturba Med Coll, Mangalore",OPHTHALMOLOGY,MNG,GEN,"₹ 26,50,000","₹ 56,250",0,1290
3,31225,Karnataka,"Kasturba Med Coll, Manipal",OPHTHALMOLOGY,MNG,GEN,"₹ 26,50,000","₹ 56,250",0,2032
3,31227,Maharashtra,"AFMC, Pune",PATHOLOGY,AFMS,GEN,"₹ 1,57,100","₹ 93,559",5,1082
3,31229,Madhya Pradesh,"CivilHosp-RaniDurgawti,Jabalpur",DGO(NBEMS),NBE Diploma,OBC,"₹ 1,25,000","₹ 75,444",3,-
3,31231,Delhi,"Maharaja Agrasen Hosp, Delhi",DNBFAMILY MEDICINE,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 63,000",0,400
3,31236,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",GENERAL SURGERY,AIQ,SC,"₹ 1,01,500","₹ 75,444",1,1150
